unit,trip_id,toll_loc_id_start,toll_loc_id_end,toll_loc_name_start,toll_loc_name_end,toll_system_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
1000,1000_0,126003000.0,126003200.0,13 - I-278/Eliz/Goethals/Verrazano,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-09T17:16:26Z,2023-12-09T17:16:26Z,1.28,1.3,
1000,1000_1,130002600.0,130000000.0,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-09T17:16:32Z,2023-12-09T17:16:32Z,26.8,,54.6
1000,1000_2,130003200.0,130000000.0,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-09T17:16:44Z,2023-12-09T17:16:44Z,29.1,,59.0
1000,1000_3,130001000.0,130006000.0,75 - New Stanton,353 - Neshaminy Falls,ticketSystem1,2023-12-09T17:16:55Z,2023-12-09T17:16:56Z,38.3,,77.4
1000,1000_4,124004000.0,124003000.0,217 Eastern Terminal,182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-09T17:17:04Z,2023-12-09T17:17:04Z,2.6,4.0,
2000,2000_0,127000402.0,127000000.0,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-09T17:17:08Z,2023-12-09T17:17:08Z,1.33,,1.72
2000,2000_1,127004600.0,127004000.0,31 - Utica,29 - Canajoharie,ticketSystem1,2023-12-09T17:17:15Z,2023-12-09T17:17:15Z,1.73,,2.25
2000,2000_2,126002800.0,126003200.0,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-09T17:17:18Z,2023-12-09T17:17:18Z,1.76,1.8,
2000,2000_3,126000200.0,126003200.0,2 - Swedesboro/Chester,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-09T17:17:22Z,2023-12-09T17:17:22Z,11.62,11.65,
2000,2000_4,127000402.0,127000000.0,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-09T17:17:30Z,2023-12-09T17:17:30Z,1.33,,1.72
2000,2000_5,,,,,,,,,,
